Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,FrameTime,CPUBusy,CPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,InstrumentedLatency
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1790.6902,0.5053,0.3323,0.1730,67.9498,27.6661,NA,0.0000,24.5276,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1791.1955,50.2795,50.0224,0.2571,95.1106,24.4645,-2.3940,1755.6417,0.5479,59.7646
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1841.4750,0.3532,0.1992,0.1540,69.2956,27.9557,NA,0.0000,24.2200,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1841.8282,50.1936,49.8146,0.3790,96.8981,24.9913,-2.4182,1805.6437,0.0007,62.1828
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1892.0218,0.5879,0.3989,0.1890,71.6958,23.7006,NA,0.0000,24.7296,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1892.6097,48.7133,48.4297,0.2836,94.8085,24.9529,1.2395,1855.5751,0.0017,60.9433
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1941.3230,0.3919,0.2028,0.1891,71.0481,24.1967,NA,0.0000,24.5938,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1941.7149,48.7244,48.4491,0.2753,94.8529,24.1700,0.4869,1905.2116,0.6323,60.4564
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1990.4393,0.3474,0.1955,0.1519,70.2985,24.7829,NA,0.0000,23.9249,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1990.7867,49.3089,49.0431,0.2658,94.7340,24.2187,0.8643,1955.0288,0.7035,59.5921
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2040.0956,0.4326,0.2360,0.1966,69.6438,26.3071,NA,0.0000,23.9539,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2040.5282,51.3636,51.0309,0.3327,95.5183,25.1309,0.4564,2006.0110,0.3618,59.1357
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2091.8918,0.4674,0.2618,0.2056,69.2856,24.7442,NA,0.0000,24.9002,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2092.3592,49.7449,49.4652,0.2797,93.5624,25.4163,0.9744,2056.8605,0.0005,58.1613
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2142.1041,0.3587,0.1926,0.1661,69.2338,26.4642,NA,0.0000,25.0805,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2142.4628,51.0539,50.6914,0.3625,95.3393,24.9453,-1.2902,2107.4508,0.3481,59.4515
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2193.5167,0.4692,0.3030,0.1662,69.2307,25.5201,NA,0.0000,24.6785,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2193.9859,49.8443,49.4928,0.3515,94.2816,25.2162,0.0009,2157.9171,0.0016,59.4506
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2243.8302,0.4698,0.3065,0.1633,69.6535,24.0850,NA,0.0000,24.8444,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2244.3000,49.5871,49.2536,0.3335,93.2687,25.1827,1.0839,2208.3022,0.0009,58.3667
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2293.8871,0.4334,0.2633,0.1701,68.8643,25.3737,NA,0.0000,24.8507,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2294.3205,49.5666,49.3065,0.2601,93.8046,24.5233,-0.3832,2258.4754,0.5531,58.7499
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2343.8871,0.3371,0.1905,0.1466,68.7613,26.1364,NA,0.0000,24.2776,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2344.2242,50.8940,50.5187,0.3753,94.5606,24.8896,-0.4791,2308.6560,0.1907,59.2290
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2395.1182,0.4730,0.2588,0.2142,68.5562,25.7366,NA,0.0000,24.6191,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2395.5912,49.2723,49.0114,0.2609,93.8198,25.2296,-0.1467,2359.1355,0.0010,59.3757
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2444.8635,0.3497,0.1947,0.1550,69.7771,24.9331,NA,0.0000,24.9444,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2445.2132,50.0773,49.7742,0.3031,94.3605,25.1869,0.2240,2409.5222,0.0010,59.1517
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2495.2905,0.3451,0.1933,0.1518,69.4701,24.5998,NA,0.0000,24.9189,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2495.6356,49.6795,49.4017,0.2778,93.7248,25.0353,0.5346,2459.8435,0.1239,58.6171
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2545.3151,0.3515,0.1962,0.1553,69.0806,25.4925,NA,0.0000,24.7447,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2545.6666,50.6665,50.3669,0.2996,94.2216,24.7640,-0.2602,2510.1111,0.3649,58.8773
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2596.3331,0.3490,0.1999,0.1491,68.3191,25.8933,NA,0.0000,24.4847,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,2596.6821,49.2374,48.9216,0.3158,93.8634,25.2952,-0.0420,2560.7264,0.0148,58.9193
