Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,FrameTime,CPUBusy,CPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,InstrumentedLatency
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3429.3791,47.4890,47.2215,0.2675,91.2640,46.4632,-0.5028,3402.8185,NA,57.7165
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3476.8681,47.4066,47.0650,0.3416,90.2382,46.3446,0.5995,3449.8812,NA,57.1170
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3524.2747,46.7852,46.5245,0.2607,89.1762,47.7345,0.5942,3496.8200,NA,56.5228
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3571.0599,47.6569,47.3478,0.3091,90.1255,46.8995,-0.6993,3543.8552,NA,57.2221
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3618.7168,46.6997,46.4300,0.2697,89.3681,47.3721,0.5130,3591.2677,NA,56.7091
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3665.4165,47.3881,47.0878,0.3003,90.0405,48.4927,0.0573,3638.6971,NA,56.6518
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3712.8046,47.2240,46.9285,0.2955,91.1451,46.0917,-1.0101,3686.1797,NA,57.6619
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3760.0286,47.6487,47.3024,0.3463,90.0128,47.2827,1.2640,3733.5354,NA,56.3979
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3807.6773,47.2405,46.9440,0.2965,89.6468,46.9641,-0.0428,3780.7753,NA,56.4407
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3854.9178,47.2536,46.8476,0.4060,89.3704,47.6816,0.0429,3827.7823,NA,56.3978
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3902.1714,47.6610,47.4069,0.2541,89.7984,48.6816,-0.5014,3874.9625,NA,56.8992
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3949.8324,47.9036,47.5337,0.3699,90.8190,46.9369,-1.1865,3922.4576,NA,58.0857
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,3997.7360,46.4231,46.1251,0.2980,89.8523,46.1116,0.4922,3969.8867,NA,57.5935
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4044.1591,47.1964,46.8869,0.3095,89.5408,47.6650,1.3033,4017.3016,NA,56.2902
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4091.3555,47.2327,46.9102,0.3225,90.0094,46.4417,-0.5619,4064.4047,NA,56.8521
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4138.5882,46.7000,46.4015,0.2985,89.2184,47.8784,0.4696,4111.3160,NA,56.3825
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4185.2882,47.8276,47.5022,0.3254,90.3968,47.8584,-0.9452,4158.2492,NA,57.3277
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4233.1158,47.6245,47.3492,0.2753,90.4276,47.2576,-0.5183,4205.5893,NA,57.8460
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4280.7403,46.9925,46.6936,0.2989,90.0607,45.8611,-0.1274,4252.7195,NA,57.9734
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4327.7328,46.2528,45.9959,0.2569,88.9293,47.0306,1.2868,4299.8674,NA,56.6866
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4373.9856,47.2040,46.8956,0.3084,89.7071,47.8465,0.1675,4347.0655,NA,56.5191
